DateTime,RecordingTime,Values,
,11.128693,-0.157956,
,11.142529,-0.166232,
,11.156549,-0.173705,
,11.169735,-0.179892,
,11.183418,-0.185443,
,11.196617,-0.189954,
,11.210767,-0.193867,
,11.224534,-0.196754,
,11.238044,-0.198702,
,11.253407,-0.199852,
,11.266711,-0.199929,
,11.280751,-0.199086,
,11.294747,-0.197301,
,11.309063,-0.194503,
,11.323601,-0.190656,
,11.338171,-0.185789,
,11.352281,-0.180113,
,11.366918,-0.173231,
,11.381243,-0.165521,
,11.395609,-0.156827,
,11.410853,-0.146558,
,11.424675,-0.136327,
,11.438936,-0.124863,
,11.453691,-0.11204,
,11.468223,-0.09847,
,11.482673,-0.084061,
,11.496217,-0.069738,
,11.509543,-0.054884,
,11.523829,-0.038139,
,11.538671,-0.019852,
,11.553066,-0.001271,
,11.567573,0.018284,
,11.582048,0.038604,
,11.595257,0.057837,
,11.609947,0.079982,
,11.623588,0.101239,
,11.63714,0.123002,
,11.650764,0.145509,
,11.665336,0.170262,
,11.679016,0.194117,
,11.695695,0.223982,
,11.710545,0.251265,
,11.723745,0.276044,
,11.73712,0.301636,
,11.751431,0.329539,
,11.764606,0.355681,
,11.778269,0.383223,
,11.791453,0.410205,
,11.804938,0.438184,
,11.818568,0.46684,
,11.832374,0.496223,
,11.847327,0.528429,
,11.861454,0.559189,
,11.875898,0.590949,
,11.890706,0.623799,
,11.905399,0.656657,
,11.920152,0.68988,
,11.934104,0.721486,
,11.94927,0.756013,
,11.963718,0.78904,
,11.978439,0.822795,
,11.992445,0.854978,
,12.006132,0.886467,
,12.020831,0.920297,
,12.035236,0.95343,
,12.050075,0.987509,
,12.065387,1.022588,
,12.080798,1.057766,
,12.095966,1.092231,
,12.112002,1.128456,
,12.125562,1.158886,
,12.139065,1.188985,
,12.152558,1.21883,
,12.168074,1.252832,
,12.186491,1.292709,
,12.203522,1.329064,
,12.220675,1.365133,
,12.237455,1.399836,
,12.253904,1.433257,
,12.269468,1.4643,
,12.283615,1.491997,
,12.299763,1.522977,
,12.31352,1.548811,
,12.327609,1.574711,
,12.342492,1.601432,
,12.358986,1.63025,
,12.372202,1.652716,
,12.38784,1.678554,
,12.40212,1.70142,
,12.417304,1.72495,
,12.431976,1.746895,
,12.446623,1.768005,
,12.45996,1.786521,
,12.475009,1.806583,
,12.493945,1.830547,
,12.51504,1.855524,
,12.534096,1.876486,
,12.553348,1.896088,
,12.569935,1.911681,
,12.586688,1.926195,
,12.60256,1.938782,
,12.617751,1.949756,
,12.633225,1.959845,
,12.648118,1.968506,
,12.662729,1.975994,
,12.680858,1.983887,
,12.697674,1.989815,
,12.713318,1.994119,
,12.730332,1.997469,
,12.746715,1.99938,
,12.760912,1.999992,
,12.77487,1.999647,
,12.78813,1.998451,
,12.801773,1.996338,
,12.81562,1.99328,
,12.830149,1.989085,
,12.845018,1.98375,
,12.858173,1.978154,
,12.872444,1.971161,
,12.885356,1.964012,
,12.898569,1.955891,
,12.911559,1.947121,
,12.924558,1.937571,
,12.937677,1.927153,
,12.951188,1.915616,
,12.964398,1.903551,
,12.977374,1.890955,
,12.991044,1.876894,
,13.007007,1.859465,
,13.025087,1.838431,
,13.039788,1.820338,
,13.053362,1.802858,
,13.067455,1.783939,
,13.081778,1.763926,
,13.095971,1.743328,
,13.111082,1.72058,
,13.12445,1.699773,
,13.138198,1.67772,
,13.151559,1.655672,
,13.165288,1.632403,
,13.180688,1.605582,
,13.194823,1.580319,
,13.208444,1.555413,
,13.222558,1.529041,
,13.236055,1.50331,
,13.25038,1.475476,
,13.264067,1.448397,
,13.278076,1.420217,
,13.291955,1.391855,
,13.306321,1.362063,
,13.321447,1.330244,
,13.335876,1.29949,
,13.349746,1.269584,
,13.36369,1.239202,
,13.377086,1.209746,
,13.392509,1.17553,
,13.408617,1.13949,
,13.425717,1.100931,
,13.440991,1.066273,
,13.4548,1.034792,
,13.468776,1.002815,
,13.483139,0.969861,
,13.497728,0.936324,
,13.511661,0.904265,
,13.525641,0.872091,
,13.539916,0.839265,
,13.554011,0.806904,
,13.567877,0.77515,
,13.582689,0.741346,
,13.597315,0.708115,
,13.611387,0.676311,
,13.625269,0.645128,
,13.642521,0.606677,
,13.656178,0.576507,
,13.671252,0.543515,
,13.686845,0.509759,
,13.701517,0.478376,
,13.71624,0.447285,
,13.730956,0.416636,
,13.744704,0.388415,
,13.761051,0.355415,
,13.775332,0.327105,
,13.789161,0.30018,
,13.802481,0.274718,
,13.818148,0.245393,
,13.832779,0.218641,
,13.847485,0.192398,
,13.862464,0.166354,
,13.876304,0.142931,
,13.892251,0.116731,
,13.90801,0.091695,
,13.922706,0.069141,
,13.936709,0.048378,
,13.95041,0.028773,
,13.963973,0.010069,
,13.977639,-0.008052,
,13.99297,-0.027496,
,14.006687,-0.044085,
,14.021017,-0.060584,
,14.034667,-0.075498,
,14.055222,-0.096451,
,14.078539,-0.117987,
,14.09901,-0.134899,
,14.113606,-0.1458,
,14.127435,-0.155229,
,14.141804,-0.164089,
,14.155828,-0.17181,
,14.169542,-0.178468,
,14.184989,-0.184903,
,14.200254,-0.19015,
,14.214625,-0.194073,
,14.231124,-0.197357,
,14.245075,-0.199114,
,14.260318,-0.199963,
,14.273653,-0.199788,
,14.287334,-0.198719,
,14.302597,-0.196464,
,14.318393,-0.192953,
,14.332206,-0.188904,
,14.34656,-0.183734,
,14.361737,-0.177203,
,14.377805,-0.169106,
,14.391284,-0.161381,
,14.405228,-0.152502,
,14.418931,-0.142903,
,14.434632,-0.130851,
,14.449294,-0.118593,
,14.464156,-0.105189,
,14.47858,-0.091249,
,14.493742,-0.075625,
,14.507482,-0.060618,
,14.521175,-0.044871,
,14.534892,-0.028319,
,14.54933,-0.010073,
,14.563362,0.008457,
,14.576416,0.026386,
,14.590091,0.045866,
,14.603844,0.066162,
,14.618091,0.087915,
,14.632507,0.110662,
,14.646668,0.133706,
,14.660908,0.157553,
,14.67618,0.183864,
,14.692339,0.212497,
,14.706032,0.237376,
,14.719336,0.262071,
,14.73654,0.294733,
,14.750641,0.322093,
,14.764193,0.34886,
,14.778428,0.377455,
,14.794222,0.409721,
,14.808179,0.438681,
,14.823915,0.471805,
,14.837439,0.500641,
,14.851538,0.531045,
,14.86732,0.56546,
,14.880744,0.595021,
,14.894747,0.626111,
,14.908188,0.656175,
,14.922073,0.687437,
,14.935636,0.718145,
,14.949355,0.749356,
,14.963273,0.781147,
,14.977725,0.814263,
,14.991318,0.845483,
,15.004733,0.876338,
,15.018295,0.907549,
,15.034113,0.943942,
,15.049235,0.978693,
,15.062499,1.009106,
,15.077353,1.043067,
,15.090718,1.073505,
,15.104467,1.104678,
,15.117825,1.134799,
,15.131293,1.164985,
,15.146839,1.199564,
,15.160567,1.229839,
,15.177331,1.266435,
,15.19046,1.294785,
,15.203378,1.322387,
,15.216917,1.350986,
,15.233336,1.385181,
,15.246353,1.411885,
,15.259078,1.437621,
,15.272104,1.463575,
,15.285509,1.489845,
,15.299653,1.517059,
,15.312729,1.541739,
,15.326847,1.567846,
,15.341702,1.594687,
,15.35683,1.621327,
,15.370953,1.645549,
,15.385757,1.670241,
,15.398644,1.691134,
,15.41195,1.712101,
,15.426178,1.733825,
,15.442242,1.757463,
,15.455461,1.77619,
,15.470169,1.796238,
,15.483254,1.813362,
,15.496781,1.830343,
,15.511638,1.848134,
,15.524311,1.862587,
,15.537867,1.877298,
,15.550807,1.890608,
,15.565376,1.904723,
,15.580767,1.918619,
,15.594369,1.930022,
,15.607019,1.939879,
,15.620429,1.949532,
,15.634707,1.958902,
,15.648123,1.966845,
,15.661248,1.973802,
,15.674106,1.979833,
,15.687146,1.985151,
,15.70171,1.990135,
,15.714529,1.993685,
,15.729298,1.996799,
,15.741896,1.998628,
,15.755203,1.999731,
,15.768279,1.999985,
,15.781356,1.999415,
,15.79668,1.9977,
,15.810332,1.995221,
,15.823158,1.992079,
,15.836258,1.988057,
,15.851184,1.982479,
,15.866554,1.975632,
,15.879587,1.968954,
,15.892552,1.961522,
,15.907656,1.951881,
,15.920465,1.94288,
,15.933517,1.932938,
,15.948042,1.920969,
,15.961019,1.909477,
,15.973848,1.897385,
,15.987132,1.884107,
,16.001255,1.869157,
,16.014938,1.853867,
,16.027893,1.838667,
,16.041046,1.822532,
,16.05477,1.80495,
,16.067316,1.788225,
,16.080372,1.770169,
,16.094261,1.75025,
,16.107056,1.731264,
,16.120039,1.711391,
,16.133135,1.690737,
,16.146095,1.669713,
,16.159067,1.648104,
,16.174763,1.621223,
,16.18746,1.598907,
,16.200722,1.57507,
,16.215429,1.548028,
,16.230127,1.520393,
