DateTime,RecordingTime,Values,PartTimes,
,4.697577,1.054018,0.436554,
,4.712359,1.599035,0.409925,
,4.725198,0.945977,0.382718,
,4.738496,0.862475,0.35589,
,4.751805,0.900956,0.328609,
,4.765558,1.241004,0.29848,
,4.781033,0.883137,0.27025,
,4.795835,0.872467,0.243,
,4.810434,1.381679,0.219697,
,4.823186,0.810472,0.19137,
,4.839059,1.707013,0.165245,
,4.854102,0.215394,0.143148,
,4.867165,1.506562,0.119665,
,4.88143,0.756329,0.095735,
,4.89642,0.900036,0.075692,
,4.909375,0.823927,0.05503,
,4.92316,0.248926,0.037261,
,4.935408,0.444696,0.018249,
,4.948968,1.504221,-0.002472,
,4.964363,0.914708,-0.019145,
,4.977285,0.46608,-0.034895,
,4.990001,0.300002,-0.050737,
,5.003367,0.844457,-0.065376,
,5.016316,0.895673,-0.081388,
,5.031259,0.90738,-0.096092,
,5.045844,1.074317,-0.108525,
,5.058963,0.871265,-0.12037,
,5.072281,1.909361,-0.131208,
,5.085331,0.737451,-0.142684,
,5.100289,0.898556,-0.153211,
,5.115355,0.650961,-0.162296,
,5.129758,0.058348,-0.169581,
,5.142594,0.900342,-0.177452,
,5.158317,1.054747,-0.183192,
,5.171597,0.913515,-0.188634,
,5.186489,1.008185,-0.192632,
,5.199907,0.56034,-0.195992,
,5.21444,0.849684,-0.198269,
,5.228438,-0.105057,-0.199693,
,5.243965,1.213507,-0.199996,
,5.256627,1.368749,-0.199511,
,5.26951,0.784711,-0.197991,
,5.284143,0.016676,-0.19559,
,5.298069,0.900128,-0.191912,
,5.31325,0.927015,-0.187207,
,5.328218,1.140049,-0.181531,
,5.342959,1.975564,-0.175618,
,5.356072,0.89966,-0.167934,
,5.370941,1.032377,-0.159247,
,5.385759,1.223588,-0.149934,
,5.400008,0.25778,-0.139335,
,5.414726,0.778366,-0.127846,
,5.429327,0.997653,-0.114056,
,5.445439,1.700642,-0.100194,
,5.460425,0.434532,-0.084917,
,5.475833,0.905533,-0.069061,
,5.490833,0.751262,-0.054787,
,5.503623,1.178317,-0.038696,
,5.517359,0.595637,-0.020841,
,5.531881,1.353492,-0.002024,
,5.546488,1.622947,0.017493,
,5.560992,-0.021267,0.034879,
,5.573431,1.070464,0.052912,
,5.58591,1.660489,0.073856,
,5.599929,1.193063,0.096068,
,5.614302,1.149806,0.118459,
,5.628337,0.936625,0.143022,
,5.64327,0.899935,0.166822,
,5.657329,1.735964,0.188698,
,5.669931,1.004263,0.211032,
,5.682514,0.401606,0.237706,
,5.697202,0.672852,0.265746,
,5.712285,1.521006,0.289782,
,5.72495,0.872626,0.313716,
,5.737342,1.231133,0.33975,
,5.750597,1.653527,0.367462,
,5.764471,0.465109,0.394286,
,5.777692,0.70373,0.4225,
,5.791396,0.542005,0.453921,
,5.806438,0.301637,0.483147,
,5.820244,0.168099,0.511855,
,5.833648,0.992618,0.541385,
,5.847289,1.749953,0.56987,
,5.860322,1.128186,0.603803,
,5.875702,1.648921,0.633194,
,5.888913,0.899866,0.6626,
,5.90204,0.706443,0.696744,
,5.917182,1.512409,0.728686,
,5.931267,0.087111,0.759189,
,5.944656,0.993262,0.792539,
,5.95924,1.166919,0.822436,
,5.972277,0.152075,0.852759,
,5.985474,0.70154,0.882991,
,5.998615,0.173893,0.918405,
,6.014003,1.104002,0.947288,
,6.026559,0.688852,0.980008,
,6.0408,0.895064,1.010548,
,6.05412,0.053938,1.039778,
,6.066903,1.07413,1.072095,
,6.081089,0.894045,1.102875,
,6.094662,0.961996,1.136072,
,6.109382,0.934334,1.169393,
,6.124258,0.789763,1.197713,
,6.136994,0.808101,1.232919,
,6.152962,0.813943,1.263861,
,6.167136,1.420231,1.29478,
,6.181449,-0.026435,1.321738,
,6.194064,0.932221,1.349149,
,6.207034,0.575027,1.380253,
,6.221945,0.376208,1.406655,
,6.234781,-0.024526,1.435858,
,6.249191,1.824895,1.464516,
,6.263572,0.473177,1.493605,
,6.278439,1.815194,1.517916,
,6.291094,1.008775,1.541869,
,6.30379,0.578049,1.572092,
,6.320165,1.469069,1.596264,
,6.333579,1.604344,1.620337,
,6.34725,0.155504,1.644261,
,6.361183,1.450581,1.665831,
,6.374072,0.918575,1.686627,
,6.386826,1.816909,1.708426,
,6.40058,1.089439,1.728208,
,6.413444,0.380831,1.747784,
,6.426576,1.71624,1.770105,
,6.442104,1.11404,1.790805,
,6.457113,0.899992,1.809296,
,6.47109,0.688146,1.826334,
,6.484525,1.048491,1.844779,
,6.499768,0.101876,1.860758,
,6.513665,0.838988,1.874161,
,6.525906,0.164041,1.890252,
,6.541443,0.712839,1.904124,
,6.555729,1.376495,1.917439,
,6.570404,0.699195,1.928736,
,6.583775,1.804751,1.93998,
,6.598145,0.896036,1.950375,
,6.612648,1.008417,1.958374,
,6.624853,1.304986,1.966956,
,6.639312,0.653987,1.97368,
,6.651995,0.220786,1.980452,
,6.666518,0.959691,1.986094,
,6.680678,0.370773,1.990425,
,6.69365,0.567281,1.994512,
,6.708997,0.336327,1.997262,
,6.723031,-0.058816,1.999002,
,6.736398,0.197857,1.999865,
,6.749262,0.923399,1.999934,
,6.762009,1.978553,1.999078,
,6.776323,1.004656,1.997191,
,6.790922,0.433658,1.994703,
,6.80368,0.906035,1.991433,
,6.816446,0.830758,1.987129,
,6.829942,0.899612,1.982144,
,6.84299,0.923644,1.976111,
,6.856545,-0.012929,1.968846,
,6.870777,0.97174,1.960555,
,6.885136,0.899785,1.950574,
,6.900574,0.899263,1.940868,
,6.914181,0.893354,1.929744,
,6.928498,0.484394,1.916763,
,6.943882,0.934192,1.905404,
,6.956418,0.400385,1.893236,
,6.969074,0.897523,1.880276,
,6.98182,0.425579,1.863627,
,6.997277,0.891054,1.848361,
,7.010691,0.902345,1.833538,
,7.023128,0.395713,1.817559,
,7.035979,1.08916,1.800005,
,7.049519,-0.065597,1.780392,
,7.06403,1.469262,1.761077,
,7.077766,0.41418,1.742348,
,7.090627,1.502729,1.72369,
,7.103042,0.609358,1.701629,
,7.117267,0.895046,1.680399,
,7.130543,0.881189,1.659131,
,7.143481,0.577177,1.637664,
,7.156209,0.741146,1.615307,
,7.169147,0.553893,1.587839,
,7.184644,1.017385,1.561807,
,7.198968,0.87602,1.533661,
,7.214101,0.883154,1.50746,
,7.22789,0.857839,1.481769,
,7.241159,1.137983,1.457015,
,7.25373,1.594866,1.432101,
,7.26619,0.266319,1.402603,
,7.280714,0.901853,1.373872,
,7.294646,1.40597,1.345153,
,7.308381,0.835849,1.316754,
,7.321793,0.965487,1.288225,
,7.335113,-0.023419,1.25949,
,7.348388,0.910775,1.229932,
,7.361913,0.618296,1.199771,
,7.37559,0.917458,1.172023,
,7.388076,0.859608,1.142081,
,7.401457,0.894809,1.112621,
,7.41454,0.314002,1.083793,
,7.427274,1.006194,1.051239,
,7.441586,1.461416,1.02058,
,7.455011,1.141714,0.991222,
,7.467826,0.930263,0.959552,
,7.48162,1.907433,0.928223,
,7.495244,0.088265,0.897122,
,7.508758,0.934751,0.865691,
,7.522417,0.993576,0.834696,
,7.535899,0.629197,0.803113,
,7.549659,1.444045,0.771036,
,7.563671,1.369758,0.740172,
,7.577198,0.902522,0.711001,
,7.590036,0.236261,0.679652,
,7.603899,1.019035,0.649198,
,7.617446,0.449392,0.620136,
,7.630458,0.944641,0.587921,
,7.644992,0.777337,0.558186,
,7.658524,0.967518,0.526692,
,7.672994,1.999463,0.497384,
,7.686604,0.135094,0.467682,
,7.700553,0.223843,0.439692,
,7.71386,1.896539,0.411499,
,7.727438,0.405755,0.38569,
,7.740037,1.902171,0.359871,
,7.75282,0.769827,0.33279,
